Id,Jurisdiction,Linked To
1,Bahamas,China
2,Bahamas,China
3,Bahamas,China
4,Bahamas,China
5,Bahamas,China
6,Belize,China
7,British Anguilla,China
8,British Anguilla,China
9,British Anguilla,China
10,British Anguilla,China
11,British Anguilla,China
12,British Anguilla,China
13,British Anguilla,China
14,British Anguilla,China
15,British Anguilla,China
16,British Anguilla,China
17,British Anguilla,China
18,British Anguilla,China
19,British Anguilla,China
20,British Anguilla,China
21,British Anguilla,China
22,British Anguilla,China
23,British Anguilla,China
24,British Anguilla,China
25,British Anguilla,China
26,British Anguilla,China
27,British Anguilla,China
28,British Anguilla,China
29,British Anguilla,China
30,British Anguilla,China
31,British Anguilla,China
32,British Anguilla,China
33,British Anguilla,China
34,British Anguilla,China
35,British Anguilla,China
36,British Anguilla,China
37,British Anguilla,China
38,British Anguilla,China
39,British Anguilla,China
40,British Anguilla,China
41,British Anguilla,China
42,British Anguilla,China
43,British Anguilla,China
44,British Anguilla,China
45,British Anguilla,China
46,British Anguilla,China
47,British Anguilla,China
48,British Anguilla,China
49,British Anguilla,China
50,British Anguilla,China
51,British Anguilla,China
52,British Anguilla,China
53,British Anguilla,China
54,British Anguilla,China
55,British Anguilla,China
56,British Anguilla,China
57,British Anguilla,China
58,British Anguilla,China
59,British Anguilla,China
60,British Anguilla,China
61,British Anguilla,China
62,British Anguilla,China
63,British Anguilla,China
64,British Anguilla,China
65,British Anguilla,China
66,British Anguilla,China
67,British Anguilla,China
68,British Anguilla,China
69,British Anguilla,China
70,British Anguilla,China
71,British Anguilla,China
72,British Anguilla,China
73,British Anguilla,China
74,British Anguilla,China
75,British Anguilla,China
76,British Anguilla,China
77,British Anguilla,China
78,British Anguilla,China
79,British Anguilla,China
80,British Anguilla,China
81,British Anguilla,China
82,British Anguilla,China
83,British Anguilla,China
84,British Anguilla,China
85,British Anguilla,China
86,British Anguilla,China
87,British Anguilla,China
88,British Anguilla,China
89,British Anguilla,China
90,British Anguilla,China
91,British Anguilla,China
92,British Anguilla,China
93,British Anguilla,China
94,British Anguilla,China
95,British Anguilla,China
96,British Anguilla,China
97,British Anguilla,China
98,British Anguilla,China
99,British Anguilla,China
100,British Anguilla,China
101,British Anguilla,China
102,British Anguilla,China
103,British Anguilla,China
104,British Anguilla,China
105,British Anguilla,China
