Id,Source,Target,Type
1,3,2,directed
2,3,2,directed
3,3,2,directed
4,3,2,directed
5,3,2,directed
6,4,2,directed
7,5,2,directed
8,5,2,directed
9,5,2,directed
10,5,2,directed
11,5,2,directed
12,5,2,directed
13,5,2,directed
14,5,2,directed
15,5,2,directed
16,5,2,directed
17,5,2,directed
18,5,2,directed
19,5,2,directed
20,5,2,directed
21,5,2,directed
22,5,2,directed
23,5,2,directed
24,5,2,directed
25,5,2,directed
26,5,2,directed
27,5,2,directed
28,5,2,directed
29,5,2,directed
30,5,2,directed
31,5,2,directed
32,5,2,directed
33,5,2,directed
34,5,2,directed
35,5,2,directed
36,5,2,directed
37,5,2,directed
38,5,2,directed
39,5,2,directed
40,5,2,directed
41,5,2,directed
42,5,2,directed
43,5,2,directed
44,5,2,directed
45,5,2,directed
46,5,2,directed
47,5,2,directed
48,5,2,directed
49,5,2,directed
50,5,2,directed
51,5,2,directed
52,5,2,directed
53,5,2,directed
54,5,2,directed
55,5,2,directed
56,5,2,directed
57,5,2,directed
58,5,2,directed
59,5,2,directed
60,5,2,directed
61,5,2,directed
62,5,2,directed
63,5,2,directed
64,5,2,directed
65,5,2,directed
66,5,2,directed
67,5,2,directed
68,5,2,directed
69,5,2,directed
70,5,2,directed
71,5,2,directed
72,5,2,directed
73,5,2,directed
74,5,2,directed
75,5,2,directed
76,5,2,directed
77,5,2,directed
78,5,2,directed
79,5,2,directed
80,5,2,directed
81,5,2,directed
82,5,2,directed
83,5,2,directed
84,5,2,directed
85,5,2,directed
86,5,2,directed
87,5,2,directed
88,5,2,directed
89,5,2,directed
90,5,2,directed
91,5,2,directed
92,5,2,directed
93,5,2,directed
94,5,2,directed
95,5,2,directed
96,5,2,directed
97,5,2,directed
98,5,2,directed
99,5,2,directed
100,5,2,directed
101,5,2,directed
102,5,2,directed
103,5,2,directed
104,5,2,directed
105,5,2,directed
106,5,2,directed
107,5,2,directed
108,5,2,directed
109,5,2,directed
110,5,2,directed
111,5,2,directed
112,5,2,directed
113,5,2,directed
114,5,2,directed
115,5,2,directed
116,5,2,directed
117,5,2,directed
118,5,2,directed
119,5,2,directed
120,5,2,directed
121,5,2,directed
122,5,2,directed
123,5,2,directed
124,5,2,directed
125,5,2,directed
126,5,2,directed
127,5,2,directed
128,5,2,directed
129,5,2,directed
