Company Name,2013-2011,Relative to China Market,Compared to World,,
SINOPEC SHANGHAI PETROCHEM,-46%,-13.30%,-28%,,
HUANENG POWER INTERNATIONAL,69%,101.70%,87%,,
GUANGSHEN RAILWAY CO LTD,15%,47.70%,33%,,
CHINA EASTERN AIRLINES CORP,-26%,6.70%,-8%,,
YANZHOU COAL MINING CO LTD,-71%,-37.70%,-53%,,
PETROCHINA CO LTD,-18%,15.00%,0%,,
CHINA PETROLEUM & CHEM CORP,-16%,16.60%,2%,,
ALUMINUM CORP CHINA LTD,-63%,-30.10%,-45%,,
LIANHUA SUPERMARKET HOLDINGS,-84%,-51.30%,-66%,,
PICC PROPERTY & CA,0%,32.70%,18%,,
PING AN INSURANCE GROUP,-21%,12.20%,-3%,,
BEIJING JINGCHENG MACHY ELEC,6%,38.50%,24%,,
BEIJING NORTH STAR CO LTD,-19%,14.30%,-1%,,
ZHEJIANG EXPRESSWAY CO LTD,-5%,27.80%,13%,,
CSSC OFFSHORE AND MARINE ENG,-10%,22.70%,8%,,
JIANGXI COPPER CO LTD,-47%,-14.00%,-29%,,
FIRST TRACTOR CO LTD,-28%,4.50%,-10%,,
JIANGSU EXPRESSWAY CO LTD,9%,41.70%,27%,,
ANGANG STEEL CO LTD,-52%,-19.10%,-34%,,
CHINA SOUTHERN AIRLINES,-37%,-4.30%,-19%,,
NORTHEAST ELECTRIC DEVELPMNT,-40%,-7.30%,-22%,,
TSINGTAO BREWERY CO LTD,55%,87.80%,73%,,
MAANSHAN IRON & STEEL CO LTD,-50%,-17.10%,-32%,,
SINOPEC OILFIELD SERV CORP,-61%,-27.50%,-43%,,
CHENGDU PUTIAN TELECOMM CABL,-29%,3.90%,-11%,,
HARBIN ELECTRIC COMPANY LTD,-60%,-26.80%,-42%,,
SHENJI GRP KUNMING MACHINE,-56%,-22.70%,-38%,,
QINGLING MOTORS CO LTD,-1%,31.70%,17%,,
CHINA SHIPPING DEVELOPMENT,-41%,-8.00%,-23%,,
TIANJIN CAP ENVMNTL PROTN,37%,69.90%,55%,,
JINGWEI TEXTILE MACHY CO LTD,43%,75.80%,61%,,
NANJING PANDA ELECTRONICS CO,79%,112.30%,97%,,
HISENSE KELON ELECTR HLDGS,105%,138.30%,123%,,
ANHUI EXPRESSWAY CO LTD,-38%,-5.00%,-20%,,
SHANDONG XINHUA PHARMACEUTIC,-33%,-0.40%,-15%,,
SHENZHEN EXPRESSWAY CO LTD,-25%,8.40%,-7%,,
DATANG INTL POWER GEN CO LTD,30%,62.70%,48%,,
SICHUAN EXPRESSWAY CO LTD,-56%,-22.70%,-38%,,
ANHUI CONCH CEMENT CO LTD,-22%,11.20%,-4%,,
